"loc_rowid","pl_name","hostname","pl_letter","sy_snum","sy_pnum","sy_mnum","discoverymethod","disc_year","disc_facility","pl_controv_flag","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim"
"3484","Kepler-309 b","Kepler-309","b","1","2","0","Transit","2014","Kepler","0","5.923653","0.000028","-0.000028","0","1.56","0.14","-0.14","0"
"3485","Kepler-309 c","Kepler-309","c","1","2","0","Transit","2014","Kepler","0","105.356383","0.000857","-0.000857","0","2.51","0.18","-0.18","0"
"3486","Kepler-31 b","Kepler-31","b","1","3","0","Transit","2011","Kepler","0","20.8613","0.0002","-0.0002","0","5.5","1.1","-1.1","0"
"3487","Kepler-31 c","Kepler-31","c","1","3","0","Transit","2011","Kepler","0","42.6318","0.0005","-0.0005","0","5.3","1.1","-1.1","0"
"3488","Kepler-31 d","Kepler-31","d","1","3","0","Transit","2014","Kepler","0","87.6451","0.0014","-0.0014","0","3.9","0.8","-0.8","0"
"3489","Kepler-310 b","Kepler-310","b","1","3","0","Transit","2014","Kepler","0","13.930698","0.000108","-0.000108","0","1.19","0.56","-0.56","0"
"3490","Kepler-310 c","Kepler-310","c","1","3","0","Transit","2014","Kepler","0","56.47542","0.000207","-0.000207","0","3.38","1.58","-1.58","0"
"3491","Kepler-310 d","Kepler-310","d","1","3","0","Transit","2014","Kepler","0","92.876125","0.000785","-0.000785","0","2.47","1.15","-1.15","0"
"3492","Kepler-311 b","Kepler-311","b","1","2","0","Transit","2014","Kepler","0","9.176092","0.000057","-0.000057","0","1.7","0.33","-0.33","0"
"3493","Kepler-311 c","Kepler-311","c","1","2","0","Transit","2014","Kepler","0","19.738286","0.000205","-0.000205","0","1.43","0.28","-0.28","0"
"3494","Kepler-312 b","Kepler-312","b","1","2","0","Transit","2014","Kepler","0","1.772419","0.000012","-0.000012","0","1.29","0.25","-0.25","0"
"3495","Kepler-312 c","Kepler-312","c","1","2","0","Transit","2014","Kepler","0","19.747412","0.000068","-0.000068","0","3.15","0.61","-0.61","0"
"3496","Kepler-313 b","Kepler-313","b","1","2","0","Transit","2014","Kepler","0","14.970418","0.000114","-0.000114","0","2.53","0.31","-0.31","0"
"3497","Kepler-313 c","Kepler-313","c","1","2","0","Transit","2014","Kepler","0","32.273273","0.000819","-0.000819","0","2.57","0.42","-0.42","0"
"3498","Kepler-314 b","Kepler-314","b","1","2","0","Transit","2014","Kepler","0","2.461069","0.000013","-0.000013","0","0.83","0.12","-0.12","0"
"3499","Kepler-314 c","Kepler-314","c","1","2","0","Transit","2014","Kepler","0","5.960392","0.000005","-0.000005","0","2.9","0.43","-0.43","0"
"3500","Kepler-315 b","Kepler-315","b","1","2","0","Transit","2014","Kepler","0","96.101141","0.000918","-0.000918","0","3.77","0.78","-0.78","0"
"3501","Kepler-315 c","Kepler-315","c","1","2","0","Transit","2014","Kepler","0","265.469335","0.006223","-0.006223","0","4.15","0.96","-0.96","0"
"3502","Kepler-316 b","Kepler-316","b","1","2","0","Transit","2014","Kepler","0","2.240508","0.000006","-0.000006","0","1.06","0.11","-0.11","0"
"3503","Kepler-316 c","Kepler-316","c","1","2","0","Transit","2014","Kepler","0","6.827766","0.000034","-0.000034","0","1.16","0.12","-0.12","0"
"3504","Kepler-317 b","Kepler-317","b","1","2","0","Transit","2014","Kepler","0","5.524242","0.000027","-0.000027","0","2.09","0.96","-0.96","0"
